text,label
Ofc the RM Band are the best (waiting for grief from,1.6
One thing about Cardi B she knows how to deliver a fire song and a fire feature that never sound the same,1.4
Intimacy is the name of the game as the Moon travels through y... More for Aquarius http,2.2
The Storm is coming #Nation_wants_Behan_Ji,1.0
GRRRR,1.0
We should call him #OXYGEN_MAN  RT if agree http,1.6
Add me to your timeline‼️,3.6666666666666665
she's just joking HELP 😭,1.8
Great stuff as always!,1.6
"i know this can be a big lie, just for the part of ""Coco as an Echo fighter in smash"".",1.75
"happy, bubbly jpop 🥺",1.5
have no idea how to face u 🥲,1.5
I just can’t have sex with just anyone lol ppl are wild,4.0
I can't believe you don't value family,3.0
I'm voting for  for #BBMAsTopSocial. RT to vote too! http,1.4
you're too kind. thank you!!! ^^,1.8
🥺🥺.. my home.. is astro yes,1.6666666666666667
Thanks for alerting me to these fabulous oat bars!,1.2
"After we are done, she took a pen and marked my name! Inamaanisha?🤔🤔🤔🤔🤔",1.6
ofc but focus on anyone way more,2.0
Two own goals 😂,1.2
"Did I hurt your ethno-obsessed feelings? We're ALL humans, stop with your dangerous role play.",1.25
"My thoughts are with you and your loved ones, may she RIP",2.75
dare i say gods menu was the most impactful kpop release last year,1.0
That's quite high in comparison to last week isn't it?,1.8
its glorious 🔥🔥,3.6
"""WAH!!! I gotta go see if my bro is okay!"" *runs to Mario's house*",2.0
"i’ll be yours through all the years, till the end of time. #MewSuppasit  #MyCandyHeroxMew",4.0
I wish only Capricorns could see my posts cause a lot of y’all are so annoying. Idk how big accounts do it.,2.4
Would you like to talk about it babe,3.2
You'll never get my sweet blue studs,1.8
It is good.,1.0
if comfort was a person it would be namjoon,2.2
have a nice day !!,1.0
Can I have you lol,3.5
dood seriously 🥲,1.2
YES I AM,2.5
"I like LN, JR and GB!",1.5
i just wish my ass was fat and my stomach was flat 🙄,3.333333333333333
Exactly. Fools will come back again later when the prices are back to normal and buy the peak instead. 🤦🏽‍♂️,1.8
"if scaramouche wants to corrupt me, i think he should go ahead !!",2.4
"same, except for the classical music, and also the crusades",1.0
😞,1.25
The wall running/jumping is certainly tricky in places 🙈,1.6
Congrats to Maddie Sampson-Brown of  on your commitment to,2.333333333333333
Imagine thinking $15 is too much for a tribute 🤣🤣🤣,1.6
I know but it’s been raining like this for a good 3 weeks,2.0
Your beauty likes the ancient Egyptian pharaohs,3.2
_twt i love u sm 🥺🥺🥺,2.75
what does that imply,1.25
if i was u i wouldn’t want anyone to see this mr vi,1.75
"that every tayriana stan is biased argument is so dumb, the generalization is so strong",2.25
Take your meds. Eat. Hydrate. I feel *marginally* better having done all three.,2.2
A cookie shaped like Lancer's face. Maybe not a cookie.,2.2
No because what can a good person do about it? We just agreed it's run by the worst humans alive.,1.75
"i just got the biggest heartache, finally, my ending has come",3.4
"Help, I am having a bias crisis. Now I don't know if the word 'bias' really exists of you stan TXT http",1.4
Horizon: Zero Dawn may leave PlayStation exclusivity for PC - http http,1.0
The wonder save by Luis Suarez!,1.8
i was having a good day until i saw this tweet :( /lh,1.2
you too! good night^^,2.8
You came into our mentions angry writing novels. Take your own advice and get lost LMAOOO,2.0
"He will be a Hall of Famer, and maybe the first with his rookie card showing him with a metal bat? 🤔 #ping http",1.0
"I’m going to keep a camera on him, and make a day in the life blog with this dude",3.5
"You and me, always forever We could stay alone together",3.8
Return of the Fairies by NovaKaru http,1.0
Canelo broke that mans cheek 😭,2.2
"The Dutch maestro has revealed he talked to Barcelona for four weeks, but couldn't come to an agreement 🇳🇱 #LFC http",1.0
"The advanced box scores were super informative, but I'm not even sure they exist anymore.",1.0
You think Clemson will come back?,2.0
"mateosaga and ghostedjay, at least some of the biggest",1.0
"Hey, these some of the best Cole records ever. Ever ever.",1.0
No if u can save up £50+ for a mouse u can do it for £200-£400,1.0
kırk sekiz i vote #Louies for #BestFanArmy at the #iHeartAwards,1.0
The book The Alchemist will always have a special place in my heart.,2.0
I’m goin in right on time then leaving immediately on time lol,1.2
I need to laugh...what should I watch?,1.6
well yeah.,1.0
Cute!! ❤️❤️ enjoy!,2.0
Accountant (Dubai) http,1.0
Joe Biden is literally going to pay people to come to your house so you can tell them to go fuck themselves. Crazy times,1.6
This is why I urge people to stay home for this one. Let the Trumpanzees fight it out with the cops while we watch it on TV.,1.0
rt and reply ! I vote #BTSArmy for #BestFanArmy at #iHeartAwards _twt,1.6
You know I don’t just say things just to say things,3.0
Jai Shree Ram,1.0
Hii team I have won on 100 mania but I have still not got my prize,1.0
What happens when a WOMAN makes it on her own and not her fathers coat tail. Congratulations lady !!!,3.0
What the fuck was that!!!,2.0
it exploded,1.0
💖 So damn SEXY!!!! 💖💖💖💖💖💖💖💖💖💖  http,2.8
It's so fun to package your own stuff 🥺 Thank you for being my first ever orders!! http,1.0
Praying for you ❤️ http,1.6
well first time ever then,2.0
instagram is full of stolen artwork and they don't even care,2.0
_twt its still here for me??????,2.75
New research shows that most new research is just some bozo asking their mate to support some cock-eyed opinion.,1.0
You can’t even be nice to a nigga without his dick getting hard ugh .. I really hate y’all,4.0
This is not yt,1.0
"Hi, just want to let you know you’re invited to my 1Annual Party 🥳 Read the flyer for more information thank you. http",2.2
"this fellow teacher just did a spit-take, 🤣",2.0
why is making playlists the most therapeutic thing ever,1.6
was the tl silent or was the tl silenced,2.0
Shelby Harris is so damn good,1.75
Yip got the family plan!,2.2
If I ask you if you want me to come over and you say “if you want” ima go to the next nigga crib. It’s simple.,2.8
Most expected movies to watch in theatre #Sooraraipotru #Valimai We miss #Sooraraipotru movie in theatre. http,1.2
"Look at him go! Panda cub Xiao Qi Ji goes rock climbing, gets cuddles from mama (VIDEO) http",1.25
"I think the real question you’re asking is, who bets any horse or trainer on earth at 5/2 in these fields",1.0
...Mike Trout coming back and surprising all of us by leading off to start this series????,1.0
http [ - you bought him so m/be you should pick up his debt?],1.5
/ marcus is all jokes i swear 🤏🏼,1.75
_Pence How long one needs to bring the proof. Not a single lawsuit succeeded.,1.0
As long as Our tax money is paying Pfizer.,1.25
He should be investigated by #January6thCommittee,1.4
Homie ugly as hell🤣,2.5
"You know, I don't think I've ever seen her that happy.",2.75
this is our last week in this flat that we've lived in for 2 years :( this SUCKSSS !!! i'm excited for our next place though :)!,3.0
Good thing you live in Florida. Taxes kill it in Tennessee. I load up every time I head down.,1.4
I wan dispose these soon so I go just put you for mind,2.0
Eviction for 3rd offense,2.2
The dutch trinities. Nicknamed the greatest trios in football history [A thread] http,1.4
He wants to play the half,1.0
the people who watched them on mcd yes so true the duality of astro’s concept http,1.0
All these aggressive feminists shaa😂,1.4
"Algeria purchased 450,000 MT of optional origin wheat in a tender on Wednesday. (Agrichart)",1.0
Sutton with the keeper! Trojans trail 35-21 with 4:59 remaining. http,1.0
"*Turns on the Wedding Singer* “I don’t know what I thought this was about, but it definitely wasn’t a wedding singer” -",1.6
Chief #PawanKalyan has fully recovered from COVID - 19..! 🥰 Stay safe everyone.. Wear a mask.. http,1.3333333333333333
In all fairness that only happens 95% of the time. The rest inherit it.,2.0
Probably Jack's mistake.,1.8
En garde! These students are learning to fence through  #742bethedifference http,1.0
What about a new hashtag? #TrumpMustTestify,1.4
can't download :(( http,1.0
beauty is pain and there's beauty in everything,1.75
My body is ready,2.6
I wonder how many will have a hangover from hell in the morning 🤭🇬🇧⚽️,1.5
You need to be in! webs1te is http,1.6666666666666667
he’s not even that bad lool just wanted to mock his hair,2.0
They do it every time and we are Lucy with the football.,2.0
I made krówki and its so good,1.6
"“Identify your problems, but give your power and energy to solutions.” – Tony Robbins #personaldevelopment #tonyrobbins",1.5
After buying rakhi of 10Rs and taking 2000Rs from his brother She: http,2.6666666666666665
"When you hit a lick when you was just fucked up it hit different , niggas they could help you but didn’t gon get offended",2.0
lowkey wanna talk to him just like the old days,2.5
💳💥💥💳💥💥💥 i want them,2.2
in September I'm gonna make my 4 years with loona and I'm sensitive about it,2.8
super sir. you have reflected my thoughts about  sir.,1.4
His impersonation of JR Ewing drinking whisky and cackling genuinely used to crack me up...,1.2
i don’t have a neck tattoo but u can give me neck,3.2
Y'all are absolutely nuts and I love you!! Thank you so much for an epic weekend in the Back 4 Blood beta! http,2.0
Scott Morrison says gas will ‘always’ be a major contributor to Australia’s prosperity http with  #auspol,1.6
"when taeyong says “i don’t judge,” just know it’s a lie",2.2
Report _hack00 on Instagram is the only person who successfully restored my disabled in few mins,1.0
I THOUGHT THIS WAS TODAY MF 😭,2.0
BYE ASF,1.2
This is so funny to watch honestly you look so goofy lol http,3.0
"Good Morning Face Book friends, I do wish you all the happiness that one can get in a days time. TIGRESS AKSHARA FOR BB15",1.5
Only for short men who want to kiss their girl friends.,2.8
Yo this is sad...,1.6
exactly why i dont want to put them hugh up in my oshi list 🙏,1.6666666666666667
cute,2.0
Or maybe Las Vegas? I’m thinking he wants to be as close to LA as possible for game show hosting purposes.,1.0
Equity is a requirement,1.0
I love that fucking nobody in this school is scared of Logan #XMenAtHome,1.8
We’re talmbout a dude that last time he was sharing time on a middling team tweeted out “I hate it here”,1.75
Which books are being disappeared?,1.0
i left my apartment for a painter’s tarp and came back with 3 days to pick up my new couch !,1.3333333333333333
shoutout to my ex’s new girl. she can have ALL the problems that come with that. just do me a favor and get him too leave me alone,3.5
Over the average (by western college education standards) IQ tweet of the day.,1.25
This is the year of Greatness! because your potential is endless and you're half way there,1.4
# work hard to achieve your goal http,1.2
hey please checkout my pinned tweet and help if you can by donating a loaf or 2 of bread please 🙏🙏,1.4
oh my god you are a complete tool,1.0
Can we share this link with people? I have a long list.,1.0
☝️ Iyer ☝️ Rana It's that man again! Shardul Thakur gets two in an over 🔥 #CSKvKKR | #IPLFinal,1.0
Watching Mavs/Rockets for lottery reasons and Kelly Olynyk has 10 pts and a career-high 17 rebounds. Rockets up 7 with 48 seconds to go,1.0
“WRAiTH” by  is now on all platforms! 🔥 http,1.2
"Yeah but i triple dare you to do it, you wont",2.8
that is really kawaii,1.6
"pretty badass sign off of that was your last tweet. your presence is missed, sir bullish. I bid you well 🍻",2.2
#competition Humanity empowering site:#India is easily pleased with few 2012 #Olympics coins http http,1.0
"My first FBG of the year  . I drafted from the 12 hole, what do you think? http",1.5
It took four months but ya girl ordered those neon orange kicks at half price we love a drawn out love story http,1.75
"’i'm not ashamed of what I am and that I have curves, and that I’m thick. I like my body 💕 http",3.75
The only difference between standard socialism and democratic socialism will be the size of the mob at the door to steal what's yours...,1.6
Empty this country of all illegal immigrants and their supporters,1.0
would you describe your condition as being AIDS or VAIDS?,2.4
US: Housing market moving gradually back into “balance” – Wells Fargo http #UnitedStates #Banks #Housing,1.0
bro💀💀💀 chilllllll,1.5
well well,2.25
Thank you for the shitpost. We can hardly be bothered to make our own at this point #longgatogang http,1.25
This is what white supremacy looks like. http,1.0
Nice,1.0
Ugh! That’s not true. You should be open to a debate on the merits of the Manchin compromise.,1.6
"Today you might have to put your money where your mouth is, es... More for Cancer http",1.2
Hold on to that one! A good one indeed!,1.5
I love this alligator. got its buns in the sun without a care in the world http,1.4
😂😂😂they made me laugh. If he remembers,1.4
"You're 100% fine, don't worry!!",2.4
"only a few. i sb-ed almost 3/4 of the community because i'm done seeing discourses, so why are they coming back 😭",1.5
did u fart? bcs u blew me away😮‍💨,2.6
One reason bicycles are a sustainable mode of transportation. http,1.0
"oh boy, it is on.",1.8
Height is just a number,2.6
_guttenberg He is full of shit. The George Hamilton tan isn’t fooling anyone.,2.4
adding on to that it was just blown out of proportion for no reason,1.6666666666666667
“Fine them later if you must” is exactly what this directive is. Just increases the fine.,1.4
god youre so obsessed with me,3.4
We don't accept military dictatorship. #July2Coup #WhatsHappeningInMyanmar,1.4
I worked for the barn for almost 2 years. He’s always great.,1.75
Need to start a website? Use my code to get your site & up running with reliable web hosting from DreamHost! http,1.0
even worse than the spilt field,1.6
I think you bull shitting,2.75
what’s the point of even being friends if ur gonna be like that lol,3.2
My sister bought me one of those yeti travelling mugs and I have to admit this shit is the real deal,1.6
If there is something you have been putting off saying because... More for Cancer http,2.0
Thanks to Coach Coleman for helping our guys with some speed work today http,1.5
In the premier league neither have scored against a top 6 team this season,1.0
"Easy come, easy go.",1.0
where tf is adama,1.4
She requested for it soooo I guess that's a go signal,2.6
This Bulbasaur is winking at me. I wonder if he thinks that I'm his (grass) type? http,2.6
O’Shea with our first goal of the season 💙 #WBA http,1.4
cris + smiling = the best concept #skamespaña http,1.6
"The mind is everything. What you think, you become. Gautama Buddha http",1.75
did you finger her back or eat her out or anything? — Ofc duh it led to sex http,4.8
That might have been the best episode of power ever,1.4
don’t lie you were a ghost writer on cruel summer 😂😂,1.25
Fine I'll just play rebirth with my 0 friends x,2.4
Trust in an injury Nabi mate,1.3333333333333333
someone gotta be BIG MAD with you if they saying “you gon be alone all your life” cause you dont want to be with them! 😩😭,1.6
"morning!!! if it's cold, keep yourself warm okay!! 😊",2.25
y’all be excited to get home to your pet? i do 😭,2.6
Yeah she is! She sucks!!! Criminal behavior,1.0
"If he had anything, where is it. Back to Parlor.",1.0
_Perrottet Rich welfare again. Oz is broke. How are we going to pay for LNP debt ?,1.4
Where's that?,1.25
They’re just trying to get clicks on their pages that’s all,1.0
@_BarringtonII Creative use of the word “tough” to cover the bad half.,1.2
It's worth a shot. Couldn't hurt and maybe it'll help👍😁,2.0
She IS,1.6
I want a workout partner.,3.6
"More than 2,200 have died of coronavirus inside nursing homes but feds aren’t tracking the numbers: report - http",1.0
she looked like a princess http,2.2
Guess he didn't wanna stay for breakfast... 🙃 http,3.0
wait i already commented fjjdjcj,1.25
maybe that’s not the right word. but she’s crazy.,1.3333333333333333
we might win the world cup tbh 🤟,1.5
They was 😖,1.6
Ana would like you to see her hot ass http http,4.8
Okay. Are you going to pay for it?,1.8
What’s the OVR of the free one?,1.4
"Nope, not yet. Not sure how to name them",1.2
"Hello baby❤️, I would love to buy your feet pictures and videos, DM if interested.",3.333333333333333
"She was doing great until Trump started making his ""comeback"". The pressure and cowering between votes worked.",1.2
I think he deleted it 😭,2.0
I want to go back to precedented times...,1.0
"Aimbot, Cronus, Hacks the works but plenty of positive comments to. Nearly 4k comments man!!",1.5
Reggie Jackson is carrying so hard rn,1.2
It's a pedestrian defense. What's impressive is how readily leftists accept it.,1.2
Sometimes I’d feel everything is so terrible then I’d remember “Breathe” by Michelle Branch exists and it’s just one play away,2.2
Lol hopefully y’all get tired of this soon,1.6
why do i love and hate this @ the same time,2.8
Hardly,1.2
i’ll dm you???,1.8
Yes i also think so😢😢,2.0
sucks to be someone who feels emotions so deeply whether good or bad,2.6
Oh!! I should have known it was one of those,1.8
Has Alphari missed an ult ? Rumor has it anyone who's been close enough to see it dies,1.25
You didn't,1.0
after 3 years of being my roommate: “How do you say your last name again?”,2.6
Is Hermes actually sad or does he just look sad? I don't want him to be sad.,1.2
"He gets loads of credit mate ,he’s quality",1.5
i love learning about fashion in french!,2.2
I'm voting for _twt for #BBMAsTopSocial. tweeting is more encourage to make sure that it counts if you dont know you are shadowbanned,1.6
ice cream ice cream ice cream 😌,1.0
Me and  gon have to set him up ! http,2.6
"Been seeing so much “RIP”,, “car wash funds” lately. You really don’t know when ur time is up, life really to short.",2.6
Queen be putting the work in 👑,1.0
Now a days a female can’t get mad at a nigha for cheating if they doing the same shii 🤦🏾‍♂️,2.5
$edwinr1171 need for gas,1.2
"It's funny how choosing to live a life authentic to you IRKS certain souls. crabs in a bucket, it's a spectacle you just can't miss out on",1.75
Well he is 😊😊😊,1.6
Can I burn it in mortuary ?,1.0
Today is the only day you can rt this. http,1.2
hobi and namjoon on weverse ♡,2.25
imagine the gp999 girls who were close w the members watching the mv and being so proud 😭,2.0
Well said Amy.,2.2
I hope you are right. This is a fundamentally important point for Putin's punishment in the future,1.0
I would pay a premium for this. We can ooohh and ahh in comfortability.,2.5
"Boy, our *president* sure is a class act, huh guys? http",2.2
I didn’t believe it so I had to look it up. http,1.0
"Richmond Screamers. If it was just Jamie Tart from season 1, he could be “Lasso’s A””hole”",1.6
Say what???,2.25
massive own goal,1.4
Ice is bad for you,1.2
man i was talking about the ones i showed you not travis scott fish,2.8
"I’d like to see how they look when worn standing up. Toes all squished together, probably sweaty.",2.6
People are stupid apparently and that’s not fromsofts fault,2.75
"BARC Data for Week 7: Tamil Programmes .For custom viewership data, visit http http",1.0
You might to clip those nose hairs …. Or are this left overs?? Lmao,3.0
"""I'm not your Mary"" and ""I don't want any damn flowers"" come to mind of recent things that didn't used to cut so deep but now it does.",2.6
I like you but not I'll drive to the Westside and pass the 405 on a Friday Like You.,1.6666666666666667
You read them though and cared enough to reply. So that means I win right?,1.4
Subtle peer pressure could be influencing you at this time. Fo... More for Pisces http,1.4
I would make you a lucky guy if you wanted 😉 I hope your well?,4.2
Can he play the nickel?,1.6
You googled the wrong Dean. Do it again people have similar names😁,2.2
U have notis on,1.0
All good.. away jerseys are confusing,1.6
my religion doesn't support this and I hope this is a joke.,3.2
no rap me & wop should’ve went into business together and cut the scruff out the middle back then. lmfao,2.0
Guess I’ll make breakfast and watch  on  🍫🍫🍫🤌🏾 only thing I don’t know is how her and  met !!,2.0
You tried it before?,2.0
"⚾️| McKay with a rip for a double to score Cox in the bottom of the 8th. T9 | Pioneers 2, Raiders 4",1.0
"I'm feeling a bit better now, thank you! <3",2.0
"Transphobic trans people who pass well discovering twitter: ""Now I get to be the insufferable bitch that bullied me in highschool""",2.2
if someone has a gf you should like not try to get w them ? 😂,2.0
"bts represented their country, now they're on their way to represent the whole continent",1.4
pretty ironic,1.6
Believe and you can achieve greatness your halfway there!,1.8
"grass, what grass, did either admit to the rolling in grass?",1.0
For my birthday I want to go see Glue Man and have them sign a big jar of rubber cement,1.25
Yes like one desperate man sent his mother via Parcel and now he selling his Motherland,1.75
im gen speaking our economy is getting fucked so bad bc of that war we’re gonna really suffer for a while this is scart,2.4
Why? For airing my opinion?,2.0
My accent isn't not helping me effectively communicate with anyone I'm trying to talk to in Pittsburgh 🤬,1.5
Come and join!,3.0
Life in general wants you to Sit down. And ask yourself why are you Sitting down,2.25
superwoman in my life is my mother ❤️ ! thank you for the giveaway shopee ! #ShopeeMY #ShopeeMYGiveaway,2.0
"have a great day ahead, tine.",1.25
_Pogrund  Johnson is a Kremlin asset.,1.5
How much is that annually though?,1.0
Brother pick me first later u go select person pickin another Day,1.25
>play fzero >level with alot of tunnels need to throw up now,1.0
He is a neoNaz! And a murderer,1.8
He can NEVER complain about how long it takes you,2.4
If this is true then it’s gonna be great but I have a feeling they will still find a way to mess it up 🥲,2.2
I second this as another Autistic woman in tech.,2.25
"Damn...I just woke up, there was this pineapple here...hey does your ass hurt or is it just mine? 😩😳",4.0
"Keep trying, eventually transphobia will make someone laugh.",1.75
Childddd a mess. Mess,1.8
"Hehe nice reference, just need the hair to be a bit messier xD",2.4
