,text,label
41,@user @Gemini @charitywater @cameron @tyler Belkin_crack on Instagram helped me with same issues last week,2
42,this isn't a joke this is a fear I've developed in the last year or two,2
43,@user @user @user @SportsCenter celebrity privilege never surprises me.,2
44,@user that day is today,1
45,@user ‘85 Sugar Bowl,1
46,@user @user @user In Blues case a very Fluffy Fluffer ..lol,2
47,@user @user @GoldenKnights In the hood we just say scope but for sure I’ll start being politically correct 💯,2
48,no group of friends? it’s okay i still have one who’s true not fake.,2
49,Mission accomplished. http,1
50,"@user @DoorDash Damn Shame, you tipped a $1.30",2
51,Bunny with shades of the legendary Kelly Kelly with that headscissors #WrestleMania,1
52,@user Bet they are missing us ? Brexit done without them,1
53,@7NewsMelbourne Think you will find we won 22 Bronze not 4 @ChrisReason7,2
54,"Mariano Fortuny y Madrazo ( 11 May 1871 – 3 May 1949), was a Spanish http",1
55,@user Half of them are me tweeting Irene pics let's be honest 😭😭,2
56,"""That's my lil brother anw""",2
57,"@user @user @user Impliedly, that’s what you are saying.",1
58,It’s crazy how #RHOP really gets the people going,2
59,@user @user I never collect am !! Oo,1
60,@user @sagarikaghose @timesofindia You follow Chaatne wala media which are pro Anti-India,1
61,@user @user @user @SportsCenter @TrevonDiggs @NFL Bet yah ass was still in a diaper fuck outta here lmaooo,1
62,"advertise,buy and sell on .....The Broker Marketplace......for free......welcome",1
63,@user as much as i love you….. not this one,3
64,In less that a month I will know if I move to the other side of the world in August 😬,2
65,broken promise ...you was wrong fa that 🙇🏿‍♂️💯,2
66,"@DaytonaBchPD Condolences to the family, friends and our community. 💔",3
67,@user I vote for BTS 'Dynamite' by Son Sung Deuk for #FaveChoreography at #iHeartAwards @BTS_twt,1
68,"“Follow God’s example, therefore, as dearly loved children” Ephesians 5:1",2
69,@user 🤣🤣🤣🤣thank you TakaTina my baby kicked...kķkkķk was kinda worried the whole morning,3
70,@user @BTS_twt Jung hoseok I vote #BTSARMY for #BestFanArmy at the 2021 #iHeartAwards @BTS_twt,1
71,@user Come on! I’m so done with the bullshit! If females r so stupid to allow this then shame on them because they look like fools!,2
72,I just want to live life to the fullest,3
73,"he looks so smol when he tripped and then he says that it was a nice b-boy move,,, im cackling http",2
74,For this I bless you most: You give much and know not that you give at all. - Khalil Gibran #quote,2
75,"@user @user This is how it would be for me. It's humiliating, and embarrassing, and a waste of my time and energy...",3
76,I need you mf to step your game up cause the way this man came at me I almost threw up .,2
77,@user Thank you for your support. We are going to resist all such dictatorial moves on the part of HED and the provincial government.,2
78,@user A piece of candy.,1
79,@user They about to cook that mf 😂,2
80,@user @free_thinker @iamjohnoliver @AltNews @zoo_bear @user Thank you to Archana and @iamjohnoliver,1
81,@user I can surely make your banner DM me,2
82,@markpougatch @IanWright0 @seemajaswal @itvfootball @ITV Either of your tournament winners 👌,1
83,@Quicktake @user Marijuana is not a performance enhancing drug. Unless you're competing for the gold in snack eating.,1
84,@user g une update,1
85,@user Beyoncé is overrated,1
86,@user He was in coma these two years Hahahaha #BringMehrabBack,2
87,@user @user your pretty,3
88,he wants to have a partyyy 😭😭😭😭,2
89,"But, I’m truly lucky that you always be there for me in a certain time. People come and go, right? :D",3
90,tbh i think i like orange juice more than apple juice now,1
91,Boys make such cute girls http,2
92,This man of God gets it. http,2
93,"@user nova, loaded, chiz curls !",2
94,@user @user I concur 🤣🤣🤣,1
95,@user yasss bestie I've been streaming 24/7 na hahaha manifesting bts to come here in the pH 🥲🙏💕,3
96,Eat her out dick her down cuddle up,5
97,Vote for @user Cold as your Track of the Week. http http,1
98,@user thanks for the follow,1
99,@user @user @user I can make it 20k,2
